timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_present
134,0,1,0,0,122,-56,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,75,0,0,0,0,0
102,0,1,0,0,126,16,44,0,0,0,0,0,0,1,0,0,0,0,0,0,5,121,1,0,1,67240965,0
66,0,1,0,0,102,82,0,0,0,1,131073,0,0,1,0,0,0,0,0,0,5,61,0,0,0,0,0
119,0,1,0,0,124,102,59,0,0,0,0,0,0,1,0,0,0,0,0,0,6,124,1,0,0,0,0
135,0,1,0,0,95,-88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,160,0,1,0,0,0
103,0,1,0,0,37,6,0,0,0,1,131072,0,0,0,0,0,1,0,0,0,4,71,0,0,0,0,0
121,0,1,0,0,124,-34,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,22,0,0,0,0,0
96,0,1,0,0,4,-71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,0
146,0,1,0,0,176,-24,111,0,0,0,0,0,0,0,1,0,0,0,0,0,5,176,1,0,0,0,0
130,0,1,0,0,91,-36,-1,0,0,1,100795394,0,0,1,0,0,0,0,1,0,6,176,0,0,0,0,0
88,0,1,0,0,18,-90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,71,0,0,0,0,0
121,0,1,0,0,147,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0
137,0,1,0,0,132,-25,-4,1,0,1,100663297,0,0,0,0,0,0,1,0,0,6,75,0,0,0,0,0
153,0,0,0,0,176,-52,-1,0,0,1,100795394,0,0,0,0,0,0,0,1,0,6,176,0,0,0,0,0
135,0,1,0,0,132,-24,0,0,0,1,131072,0,0,0,0,0,1,0,0,0,6,67,0,0,0,0,0
132,0,1,0,0,80,-38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,139,0,1,1,33686018,0
132,0,1,0,0,118,-116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,108,0,0,0,0,0
115,0,1,0,0,69,-47,0,0,0,1,1,0,0,1,0,0,0,1,0,0,6,84,0,0,0,0,0
104,0,1,0,0,53,-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,55,0,0,0,0,0
145,0,1,0,0,124,-44,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,135,0,0,0,0,0
73,0,1,0,0,3,46,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,9,0,0,0,0,0
114,0,1,0,0,87,-24,-62,1,0,1,131073,0,0,0,0,0,1,0,0,0,6,22,0,0,1,1028,0
104,0,1,0,0,18,-34,0,0,1,1,33554432,0,1,0,0,0,0,1,0,0,2,86,0,0,0,0,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,0,0,0,0
145,0,1,0,0,176,-18,16,0,0,0,0,1,0,0,1,0,0,1,0,0,5,176,1,0,1,67240451,0
112,0,1,0,0,90,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,55,0,0,0,0,0
71,0,1,0,0,3,62,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0
144,0,1,0,0,176,-92,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,7,130,0,0,0,0,0
119,0,1,0,0,33,-44,-1,0,0,1,100664320,0,0,0,0,0,0,0,0,1,6,143,0,0,0,0,0
117,0,1,0,0,53,41,-24,0,0,0,0,0,0,0,0,0,0,0,1,1,6,107,0,0,0,0,0
117,0,1,0,0,58,41,-24,0,0,0,0,0,0,0,0,0,0,0,1,0,6,107,0,0,0,0,0
150,0,1,0,0,176,-145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,0
55,0,1,0,0,29,-58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,34,0,0,0,0,0
119,0,1,0,0,41,-35,-1,0,0,1,100795394,0,0,0,0,0,0,0,1,0,6,144,0,0,0,0,0
150,0,1,0,0,116,-91,-43,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,1,1,33686532,0
129,0,1,0,0,124,-54,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,22,0,0,0,0,0
120,0,1,0,0,157,-99,0,0,0,1,132100,0,0,0,0,0,0,0,0,1,7,29,0,0,0,0,0
136,0,1,0,0,159,-2,51,1,0,0,0,0,0,0,1,0,0,0,0,0,5,176,1,0,1,67240451,0
115,0,1,0,0,69,-53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,84,0,0,0,0,0
134,0,1,0,0,101,15,73,0,0,0,0,0,0,0,1,0,0,1,0,0,4,91,1,0,1,263168,0
104,0,1,0,0,22,-42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,75,0,0,0,0,0
153,0,0,0,0,176,-47,-17,1,0,0,0,1,0,1,0,0,0,0,0,0,6,176,0,0,0,0,0
116,0,1,0,0,18,-68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,132,0,0,0,0,0
86,0,1,0,0,18,-53,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,4,71,0,0,1,263170,0
150,0,1,0,0,154,-52,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,6,176,0,0,0,0,0
88,0,1,0,0,57,102,-31,1,0,0,0,1,0,0,1,0,0,0,0,0,0,89,0,0,0,0,0
56,0,1,0,0,4,-18,19,1,0,1,132100,1,0,0,0,0,0,0,1,0,7,99,1,0,1,67109892,0
150,0,1,0,0,154,-52,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,6,139,0,0,0,0,0
115,0,1,0,0,176,10,-70,1,0,1,1,0,0,1,0,0,0,0,0,0,7,124,0,0,1,1029,0
152,0,1,0,0,154,-53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,160,0,0,0,0,0
104,0,1,0,0,18,-34,0,0,1,1,33554432,0,0,0,0,0,0,1,0,0,2,86,0,0,0,0,0
136,0,1,0,0,147,-37,0,0,1,1,33555460,0,0,0,0,0,0,0,0,1,6,108,0,1,0,0,0
54,0,1,0,0,82,109,55,0,0,0,0,0,0,0,1,0,0,0,0,0,5,61,1,0,0,0,0
137,0,1,0,0,121,-34,-20,1,0,1,1,0,0,1,0,0,0,0,0,0,1,104,0,0,0,0,0
89,0,1,0,0,4,-107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,75,0,0,0,0,0
150,0,1,0,0,176,-142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,0
49,0,1,0,0,47,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,31,0,0,0,0,0
149,0,1,0,0,176,-44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,139,0,0,0,0,0
131,0,1,0,0,105,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,130,0,0,0,0,0
105,0,1,0,0,10,-55,-63,1,0,0,0,0,0,1,0,0,0,0,0,0,6,82,0,0,0,0,0
112,0,1,0,0,53,-149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,55,0,0,0,0,0
112,0,1,0,0,90,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,39,0,0,0,0,0
98,0,1,0,0,4,-155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,0
64,0,1,0,0,4,-58,-22,1,0,0,0,1,0,1,0,0,0,0,0,0,7,99,0,0,0,0,0
119,0,1,0,0,22,-31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,132,0,0,0,0,0
144,0,1,0,0,122,-66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,139,0,0,0,0,0
115,0,1,0,0,37,64,23,0,0,1,131073,0,0,0,0,0,1,0,0,0,4,91,1,0,0,0,0
133,0,1,0,0,101,-3,98,0,0,0,0,0,0,1,0,0,0,0,0,0,4,91,1,0,1,263168,0
131,0,1,0,0,74,138,-38,0,0,0,0,0,0,0,0,0,0,1,0,0,4,91,0,0,1,0,0
119,0,1,0,0,147,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0
144,0,1,0,0,122,-58,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,139,0,0,0,0,0
128,0,1,0,0,159,125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,127,0,0,0,0,0
137,0,1,0,0,132,-24,-38,1,0,1,100663297,0,0,0,0,0,0,1,0,0,6,75,0,0,0,0,0
121,0,1,0,0,69,-66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,0
102,0,1,0,0,18,-57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,80,0,0,0,0,0
133,0,1,0,0,118,-96,-45,0,0,0,0,0,0,0,1,0,0,0,0,0,6,108,0,1,0,0,0
96,0,1,0,0,4,-84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,0
100,0,1,0,0,4,-165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,75,0,0,0,0,0
115,0,1,0,0,90,-46,-10,0,0,0,0,0,0,0,0,0,1,0,0,0,6,55,0,1,1,33686532,0
134,0,1,0,0,119,-57,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,139,0,0,1,131073,0
104,0,1,0,0,89,205,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,45,0,0,0,0,0
50,0,1,0,0,4,145,8,0,0,0,0,0,0,0,1,0,0,0,0,0,7,14,1,0,0,0,0
145,0,1,0,0,122,-65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,139,0,0,1,1,0
147,0,1,0,0,122,-48,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,128,0,0,0,0,0
153,0,0,0,0,176,-61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,176,0,0,0,0,0
130,0,1,0,0,90,-54,-24,0,0,0,0,0,0,0,0,0,0,1,0,0,6,123,0,0,0,0,0
119,0,1,0,0,41,-35,-1,0,0,1,100795394,0,0,0,0,0,0,0,1,0,6,144,0,0,0,0,0
118,0,1,0,0,118,-106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,55,0,0,0,0,0
131,0,1,0,0,159,84,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,157,1,0,0,0,0
117,0,1,0,0,33,-125,9,0,0,0,0,0,0,1,0,0,0,0,0,0,6,97,1,0,0,0,0
64,0,1,0,0,4,-11,-64,1,0,1,132101,0,0,0,0,0,0,0,1,0,7,99,0,0,0,0,0
115,0,1,0,0,176,-83,-60,1,0,1,1,0,0,1,0,0,0,0,0,0,7,124,0,0,1,1029,0
114,0,1,0,0,89,127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,74,0,0,0,0,0
147,0,1,0,0,147,-60,0,0,0,1,1,0,0,1,0,0,0,1,0,0,6,142,0,0,0,0,0
128,0,1,0,0,144,-29,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,126,0,0,0,0,0
85,0,1,0,0,43,156,39,0,0,0,0,0,0,0,1,0,0,0,0,0,6,14,0,0,0,0,0
147,0,1,0,0,176,-46,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,108,0,0,0,0,0
145,0,1,0,0,124,-44,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,135,0,0,0,0,0
135,0,1,0,0,132,-34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,67,0,0,0,0,0
103,0,1,0,0,18,-48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,86,0,1,0,0,0
144,0,1,0,0,124,-44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,139,0,0,0,0,0
83,0,1,0,0,3,44,31,0,0,1,100795394,0,0,0,1,0,0,0,0,0,6,55,0,0,0,0,0
128,0,1,0,0,157,-30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,81,0,0,0,0,0
146,0,1,0,0,147,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,168,0,0,0,0,0
153,0,0,0,0,176,-104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,176,0,0,0,0,0
121,0,1,0,0,85,-71,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,123,0,1,0,0,0
85,0,1,0,0,4,-29,16,0,0,0,0,0,0,0,0,0,1,0,0,0,4,71,1,0,1,263170,0
66,0,1,0,0,15,79,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
103,0,1,0,0,53,-24,-50,0,0,0,0,0,0,0,0,0,0,0,0,1,6,55,0,0,0,0,0
136,0,1,0,0,124,-78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,130,0,0,0,0,0
151,0,1,0,0,158,-54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,0,0,0,0
56,0,1,0,0,4,-3,82,1,0,0,0,1,0,0,0,0,0,0,0,0,7,99,1,0,1,67109892,0
66,0,1,0,0,102,77,0,0,0,1,131073,0,0,1,0,0,0,0,0,0,5,61,0,0,0,0,0
150,0,1,0,0,154,-52,0,0,0,1,132101,0,0,0,0,0,0,0,1,0,6,139,0,0,0,0,0
49,0,1,0,0,4,71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,14,0,0,0,0,0
40,0,1,0,0,4,71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,14,0,1,0,0,0
128,0,1,0,0,157,-30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,81,0,0,0,0,0
89,0,1,0,0,57,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89,0,0,0,0,0
68,0,1,0,0,29,-63,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,73,0,0,0,0,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,176,0,0,0,0,0
