timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_id,combo_present
112,0,1,0,0,22,-81,49,1,0,1,1,1,0,1,0,0,0,0,0,0,6,75,0,0,0,0,-1,0
80,0,1,0,0,4,-65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,71,0,0,0,0,-1,0
112,0,1,0,0,22,-67,36,1,0,1,1,1,0,1,0,0,1,0,0,0,6,75,0,0,0,0,4,1
152,0,1,0,0,176,-38,46,0,0,1,132101,0,0,0,0,0,0,0,0,0,4,138,1,0,0,0,-1,0
135,0,1,0,0,48,-63,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,-1,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,-1,0
137,0,1,0,0,124,-39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,176,0,0,0,0,7,1
116,0,1,0,0,44,-66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,130,0,0,0,0,-1,0
81,0,1,0,0,4,-49,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,3,1
121,0,1,0,0,40,-26,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,2,1
145,0,1,0,0,176,-18,16,0,0,0,0,1,0,0,1,0,0,1,0,0,5,176,1,0,1,67240451,6,1
96,0,1,0,0,43,152,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0,-1,0
57,0,1,0,0,4,17,68,0,0,0,0,0,0,0,0,0,0,0,0,0,7,99,1,0,1,67109892,-1,0
135,0,1,0,0,176,-30,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,7,170,0,0,0,0,7,1
36,0,1,0,0,10,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,3,1
117,0,1,0,0,147,30,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,0,140,0,0,1,1028,4,1
99,0,1,0,0,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,0,1,1,33686532,4,1
112,0,1,0,0,22,-77,43,1,0,1,1,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0,4,1
83,0,1,0,0,4,-37,0,0,0,1,0,1,0,1,0,0,0,1,0,0,6,26,0,0,0,0,2,1
36,0,1,0,0,10,206,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,3,1
101,0,1,0,0,50,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,10,0,0,1,132100,-1,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176,0,0,0,0,-1,0
83,0,1,0,0,76,-35,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7,124,0,0,0,0,7,1
134,0,1,0,0,159,19,0,0,0,1,131072,1,0,0,1,0,1,0,0,0,5,176,0,0,0,0,7,1
101,0,1,0,0,95,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,0,1,1,33686532,-1,0
132,0,1,0,0,84,-52,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,1,104,0,0,0,0,4,1
145,0,1,0,0,147,28,-19,1,0,1,1,0,1,0,0,0,0,0,0,0,0,168,0,0,1,1024,3,1
132,0,1,0,0,80,-56,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,139,0,1,1,33686018,-1,0
121,0,1,0,0,147,50,-23,1,0,1,131073,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,4,1
88,0,1,0,0,4,-40,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,57,0,0,0,0,4,1
86,0,1,0,0,57,34,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3,1
82,0,1,0,0,4,-51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,21,0,0,0,0,3,1
112,0,1,0,0,53,-147,8,0,0,1,100795394,0,0,1,0,0,0,0,0,0,6,55,1,0,0,0,-1,0
132,0,1,0,0,147,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,-1,0
105,0,1,0,0,41,-45,-1,0,0,1,100795394,0,0,1,0,0,0,0,1,0,6,62,0,0,0,0,-1,0
144,0,1,0,0,121,-42,-63,1,0,1,1,0,1,0,1,0,0,0,0,0,1,122,0,0,0,0,3,1
70,0,1,0,0,29,-98,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0,-1,0
72,0,1,0,0,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0,4,1
69,0,1,0,0,43,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1
115,0,1,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,0,0,1,131586,3,1
130,0,1,0,0,84,-21,-48,1,0,1,131073,1,0,1,0,0,1,0,0,0,1,87,0,0,0,0,4,1
114,0,1,0,0,37,111,69,0,0,1,131073,0,0,0,0,0,0,0,0,0,4,91,1,0,0,0,-1,0
130,0,1,0,0,159,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,157,0,0,0,0,-1,0
121,0,1,0,0,147,50,-23,1,0,1,131073,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,4,1
115,0,1,0,0,8,-51,-31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,1,132100,4,1
130,0,1,0,0,176,-34,0,0,0,1,0,1,0,0,1,0,0,1,0,0,7,147,0,0,0,0,6,1
102,0,1,0,0,89,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,-1,0
101,0,1,0,0,4,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0,-1,0
117,0,1,0,0,37,100,62,0,0,0,0,0,0,1,0,0,0,0,0,0,4,91,1,0,0,0,-1,0
116,0,1,0,0,90,16,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,55,0,1,1,33686532,-1,0
151,0,1,0,0,176,-67,-17,1,0,0,0,1,0,1,0,0,0,0,0,0,2,176,0,0,0,0,-1,0
117,0,1,0,0,118,-54,0,0,0,1,131073,0,0,0,0,0,1,0,0,0,6,55,0,0,0,0,-1,0
136,0,1,0,0,129,-30,-38,1,0,1,131073,1,0,0,1,0,1,0,0,0,6,160,0,0,0,0,5,1
80,0,1,0,0,4,-34,-3,0,0,0,0,1,0,1,0,0,0,1,0,0,6,13,0,0,0,0,2,1
85,0,1,0,0,65,48,0,0,0,1,131073,1,0,1,0,0,1,0,0,0,6,73,0,0,0,0,4,1
55,0,1,0,0,4,3,107,1,0,1,132100,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0,-1,0
115,0,1,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,0,0,1,131586,3,1
121,0,1,0,0,36,-56,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,128,0,1,1,33686532,-1,0
150,0,1,0,0,176,-38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,176,0,0,1,1024,2,1
150,0,1,0,0,129,-70,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,160,0,1,1,33686532,5,1
128,0,1,0,0,89,72,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0,-1,0
102,0,1,0,0,89,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,-1,0
131,0,1,0,0,53,-22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,139,0,0,1,132100,3,1
89,0,1,0,0,18,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,0,0,0,0,-1,0
81,0,1,0,0,8,62,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,60,0,0,1,4,2,1
113,0,1,0,0,22,-48,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,122,0,0,0,0,3,1
80,0,1,0,0,43,182,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,-1,0
131,0,1,0,0,159,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,157,0,0,0,0,-1,0
147,0,1,0,0,146,-54,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,7,1
144,0,1,0,0,129,-113,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,160,0,0,0,0,-1,0
149,0,1,0,0,176,-59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,176,0,0,0,0,-1,0
145,0,1,0,0,176,-56,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,7,170,0,0,0,0,7,1
135,0,1,0,0,119,-59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,139,0,0,0,0,3,1
121,0,1,0,0,80,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,107,0,0,0,0,5,1
70,0,1,0,0,43,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,1
115,0,1,0,0,44,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,0,0,1,131586,3,1
120,0,1,0,0,176,-33,0,0,0,1,131073,1,0,0,1,0,1,0,0,0,7,130,0,0,0,0,5,1
118,0,1,0,0,89,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0,2,1
129,0,1,0,0,159,49,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,157,0,0,0,0,-1,0
120,0,1,0,0,8,-35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,169,0,0,0,0,-1,0
131,0,1,0,0,8,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,0,1,1,33686018,2,1
118,0,1,0,0,87,-135,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,-1,0
115,0,1,0,0,118,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123,0,0,0,0,-1,0
149,0,1,0,0,147,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142,0,0,0,0,-1,0
113,0,1,0,0,10,-138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,82,0,0,0,0,-1,0
145,0,1,0,0,129,-95,-37,1,0,1,131073,1,0,0,1,0,0,0,0,0,6,160,0,0,0,0,-1,0
130,0,1,0,0,144,-72,0,0,0,1,132100,0,0,1,0,0,0,0,0,0,6,132,0,0,0,0,-1,0
115,0,1,0,0,8,-51,-31,1,0,0,0,0,0,1,0,0,0,0,0,0,1,87,0,0,1,132100,4,1
112,0,1,0,0,41,-72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,62,0,0,0,0,-1,0
117,0,1,0,0,41,-35,3,0,0,1,100795394,0,0,0,0,0,0,0,0,0,6,144,0,0,0,0,-1,0
147,0,1,0,0,122,-79,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,144,0,0,0,0,-1,0
136,0,1,0,0,131,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,108,0,0,0,0,-1,0
132,0,1,0,0,122,-53,13,0,0,1,100795394,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0,-1,0
87,0,1,0,0,4,-48,0,1,0,1,131073,1,0,1,0,0,1,0,0,0,6,57,0,0,0,0,4,1
136,0,1,0,0,124,-35,-1,0,0,1,100664320,0,0,0,0,0,0,0,0,1,6,119,0,0,0,0,-1,0
86,0,1,0,0,57,36,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,-1,0
88,0,1,0,0,4,-40,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6,75,0,0,0,0,4,1
85,0,1,0,0,43,152,20,0,0,0,0,0,0,0,1,0,0,0,0,0,6,14,0,0,0,0,3,1
136,0,1,0,0,138,18,64,0,0,1,0,0,0,0,0,0,0,0,0,0,4,98,1,0,0,0,-1,0
54,0,1,0,0,82,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,61,0,0,0,0,-1,0
116,0,1,0,0,176,-36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,124,0,0,0,0,6,1
134,0,1,0,0,122,-57,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,68,0,0,0,0,-1,0
82,0,1,0,0,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1,4,2,1
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,176,0,0,0,0,-1,0
98,0,1,0,0,57,84,-42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,0,1,0,0,-1,0
104,0,1,0,0,43,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,101,0,0,0,0,2,1
129,0,1,0,0,53,-47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,132,0,0,0,0,2,1
97,0,1,0,0,4,-75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,75,0,0,0,0,-1,0
86,0,1,0,0,102,134,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,5,121,0,0,0,0,4,1
134,0,1,0,0,147,18,0,0,0,1,131072,0,0,0,0,0,0,0,0,0,0,140,0,1,0,0,4,1
153,0,0,0,0,176,-135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,176,0,0,0,0,-1,0
153,0,0,0,0,176,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,0,0,0,0,-1,0
130,0,1,0,0,159,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,157,0,0,0,0,3,1
120,0,1,0,0,60,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,0,1,1,33686532,2,1
105,0,1,0,0,33,-43,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0,4,1
112,0,1,0,0,8,-54,0,0,0,1,131073,1,0,1,0,0,1,0,0,0,1,87,0,1,0,0,4,1
145,0,1,0,0,176,-18,16,0,0,0,0,1,0,0,1,0,0,1,0,0,5,176,1,0,1,67240451,6,1
121,0,1,0,0,80,76,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,107,0,0,0,0,5,1
115,0,1,0,0,89,98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0,-1,0
115,0,1,0,0,18,-46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,132,0,0,0,0,-1,0
152,0,1,0,0,176,-63,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,176,0,0,0,0,-1,0
113,0,1,0,0,91,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,4,1
86,0,1,0,0,76,-210,80,0,0,0,0,0,0,0,0,0,0,0,0,0,7,124,1,0,0,0,-1,0
152,0,1,0,0,149,-47,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,176,0,0,1,515,2,1
119,0,1,0,0,124,101,45,0,0,0,0,0,0,1,0,0,0,0,0,0,6,124,1,0,0,0,-1,0
40,0,1,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,-1,0
100,0,1,0,0,89,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,3,1
112,0,1,0,0,22,-67,36,1,0,1,1,1,0,1,0,0,1,0,0,0,6,75,0,0,0,0,4,1
121,0,1,0,0,40,-26,-31,0,0,0,0,1,0,1,0,0,1,0,0,0,1,87,0,0,0,0,2,1
117,0,1,0,0,69,-141,4,0,0,1,100795394,0,0,1,0,0,0,0,0,0,6,84,1,0,0,0,-1,0
132,0,1,0,0,84,-54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,104,0,0,1,132101,4,1
128,0,1,0,0,69,-97,-9,1,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,0,0,-1,0
145,0,1,0,0,176,-18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,176,1,0,1,67240451,6,1
146,0,1,0,0,121,-109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,130,0,0,0,0,-1,0
114,0,1,0,0,33,-22,-38,1,0,1,1,0,0,0,0,0,0,0,0,0,6,97,0,0,0,0,2,1
151,0,1,0,0,176,-52,0,0,0,1,131073,0,0,0,0,0,0,0,0,0,7,176,0,0,0,0,5,1
145,0,1,0,0,154,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,176,0,0,0,0,-1,0
152,0,1,0,0,176,-52,19,0,0,1,100795394,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,-1,0
67,0,1,0,0,102,72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,91,0,0,0,0,3,1
35,0,1,0,0,10,197,-31,1,0,1,1,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,-1,0
114,0,1,0,0,22,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,130,0,0,0,0,3,1
130,0,1,0,0,8,-55,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,169,0,0,0,0,-1,0
129,0,1,0,0,55,-26,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,4,1
117,0,1,0,0,124,107,0,0,0,1,1,0,1,1,0,0,0,0,0,0,6,124,0,0,0,0,3,1
69,0,1,0,0,102,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,91,1,0,1,67240965,3,1
102,0,1,0,0,33,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0,4,1
100,0,1,0,0,0,-33,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0,-1,0
128,0,1,0,0,147,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,0,0,-1,0
114,0,1,0,0,176,-134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,124,0,0,1,1029,-1,0
115,0,1,0,0,44,-44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,130,0,0,1,131586,3,1
130,0,1,0,0,176,-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,147,0,0,0,0,6,1
102,0,1,0,0,43,94,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0,-1,0
128,0,1,0,0,157,-30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,75,0,0,0,0,-1,0
118,0,1,0,0,74,22,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91,0,0,0,0,-1,0
151,0,1,0,0,146,-84,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,0,0,0,0,-1,0
