timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,player1.player_buttons.A,player1.player_buttons.B,player1.player_buttons.Y,player1.player_buttons.R,player1.player_buttons.L,Player2_ID,Player2 health,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,combo_id,combo_present
152,0,1,0,0,176,-50,-31,1,0,1,1,1,0,1,0,0,0,1,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-50,-35,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-50,-39,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-50,-43,1,0,1,1,1,0,1,0,0,0,1,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-50,-49,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-49,-52,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-49,-52,1,0,1,1,1,0,1,0,0,0,1,0,0,6,165,0,0,0,0,2,1
152,0,1,0,0,176,-32,-65,1,0,1,1,0,0,1,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,6,-65,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-27,-64,1,0,1,1,0,0,1,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-25,-63,1,0,1,1,0,1,1,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-25,-63,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-20,-58,1,0,1,1,0,1,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-18,-56,1,0,1,1,0,1,0,1,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-18,-54,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-15,-51,1,0,1,1,0,0,0,1,0,0,1,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-18,-45,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-18,-45,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,1,131586,3,1
152,0,1,0,0,176,-24,-38,1,0,1,1,0,0,1,0,0,0,0,0,0,6,165,0,0,0,0,3,1
152,0,1,0,0,176,-23,-34,1,0,1,1,0,1,1,0,0,0,0,0,0,6,165,0,0,0,0,3,1
152,0,1,0,0,176,-22,-25,1,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,3,1
152,0,1,0,0,176,-22,-20,1,0,1,1,0,1,0,0,0,0,0,0,0,6,165,0,0,0,0,3,1
152,0,1,0,0,176,-22,0,0,0,1,1,0,0,0,1,0,0,1,0,0,6,165,0,0,0,0,3,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,3,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,165,0,0,0,0,3,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,165,0,0,0,0,3,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,165,0,0,0,0,2,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,165,0,0,0,0,2,1
151,0,1,0,0,176,-24,0,0,0,1,1,0,1,0,1,0,0,0,0,0,6,165,0,0,0,0,2,1
151,0,1,0,0,176,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0,2,1
151,0,1,0,0,176,-27,0,0,0,1,1,0,0,0,1,0,0,1,0,0,6,143,0,0,0,0,2,1
151,0,1,0,0,176,-27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0,2,1
151,0,1,0,0,176,-27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0,2,1
151,0,1,0,0,176,-27,0,0,0,1,1,1,0,1,0,0,0,1,0,0,6,143,0,0,0,0,2,1
150,0,1,0,0,176,-67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
150,0,1,0,0,176,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,176,-67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
149,0,1,0,0,155,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,131587,3,1
148,0,1,0,0,155,-61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,143,0,0,0,0,3,1
148,0,1,0,0,155,-47,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,143,0,0,1,132100,3,1
148,0,1,0,0,155,-47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,1,132100,3,1
148,0,1,0,0,155,-47,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,143,0,0,1,132100,3,1
148,0,1,0,0,155,-47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,143,0,0,1,132100,3,1
148,0,1,0,0,155,-47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,143,0,0,1,132100,3,1
148,0,1,0,0,155,-11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,138,0,0,0,0,3,1
148,0,1,0,0,155,-47,0,0,0,1,1,0,1,1,0,0,0,0,0,0,6,138,0,0,0,0,3,1
148,0,1,0,0,155,-47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,138,0,0,0,0,3,1
148,0,1,0,0,155,-47,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,138,0,0,0,0,3,1
