timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,Player2_ID,Player2 health,Player2 x_coord,Player2 y_coord,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,player2_buttons up,player2_buttons down,player2_buttons right,player2_buttons left,player2.player_buttons.A,player2.player_buttons.B,player2.player_buttons.Y,player2.player_buttons.R,player2.player_buttons.L
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,282,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,285,192,0,0,1,1,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,289,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,296,192,0,0,1,1,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,299,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,303,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,306,192,0,0,1,1,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,309,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,313,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,316,192,0,0,1,1,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,320,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,323,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,327,192,0,0,1,1,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,0,0,1,1,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,213,192,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,215,188,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
133,0,1,0,0,176,217,185,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,337,182,1,0,1,1025,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,221,180,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,341,178,1,0,1,1025,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,226,176,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,344,174,1,0,1,1025,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,230,173,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,348,172,1,0,1,1025,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,234,172,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,237,172,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,258,172,1,0,1,1025,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,355,172,1,0,1,1025,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,355,172,1,0,1,1025,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,358,172,1,0,1,1025,3,149,372,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,247,172,1,0,1,1025,3,149,381,192,0,0,0,0,0,0,1,0,0,0,0,0,0
132,0,1,0,0,176,226,172,1,0,1,1025,3,149,379,192,0,0,0,0,0,0,1,0,0,0,0,0,0
